Id,SalePrice
1461,130741.60030199065
1462,156806.68302284714
1463,188879.17388915847
1464,178901.42753976845
1465,186445.81353026722
1466,174519.8243340461
1467,164314.58336648633
1468,167927.60114466297
1469,192671.15000125876
1470,120535.43041416493
1471,207991.49039711145
1472,97640.16891409394
1473,101687.77144932844
1474,151535.15956453394
1475,129020.73223739845
1476,353143.0566792958
1477,243558.4404482543
1478,270998.7493053203
1479,272788.1523137457
1480,534324.9121645374
1481,311123.7358182802
1482,198810.29701091582
1483,179562.16715260383
1484,174954.0882994583
1485,176756.40497518837
1486,190557.63529035702
1487,336269.397510303
1488,242940.09815451753
1489,197894.37765319264
1490,220997.3602515227
1491,193972.82485144082
1492,92894.89329801248
1493,182273.11464931033
1494,299810.08095871145
1495,279802.5077417715
1496,244243.52248406282
1497,187363.68770046986
1498,166004.5459785653
1499,161476.84122919157
1500,148743.4028401923
1501,169377.10751465097
1502,163472.42426910767
1503,283299.8699440112
1504,233049.2081700424
1505,227885.20530981806
1506,168160.52728473186
1507,220647.47858569058
1508,198640.51128457932
1509,160000.13324842142
1510,142559.1658885532
1511,155813.03858239137
1512,161604.40370825338
1513,138364.30318011492
1514,159923.15103662526
1515,175460.13446542967
1516,160185.21990883182
1517,157421.34533010973
1518,131657.60950379726
1519,229343.96535042272
1520,135406.5088690446
1521,138805.2400524141
1522,161940.94208688705
1523,115546.36187724453
1524,128601.02691382974
1525,131177.27288287488
1526,121541.18441869013
1527,112524.72366319183
1528,130407.57345024853
1529,141371.5542706574
1530,176187.5337930645
1531,115226.73370035164
1532,105809.10254257517
1533,134853.8820480198
1534,117454.00372961853
1535,159266.0587384151
1536,117769.70933001951
1537,77990.84392583802
1538,153950.39584999738
1539,229036.8736711648
1540,103702.02720176255
1541,138872.11379086133
1542,138770.27692280288
1543,193685.34412197306
1544,72683.08977957205
1545,110819.99530724561
1546,133412.74550643956
1547,145328.49699551723
1548,136805.17588038198
1549,119959.60445004112
1550,136929.10215588272
1551,107489.41003608063
1552,117974.75523240803
1553,133120.81749569857
1554,111219.77116461546
1555,182198.57157914748
1556,91065.41821515217
1557,99546.17173693675
1558,100939.69573925833
1559,92181.8642436312
1560,145947.19245540682
1561,137035.8102564708
1562,132612.2673415584
1563,122480.3865981351
1564,165250.38061497122
1565,151490.68372373894
1566,232659.82815765383
1567,77885.97358771342
1568,225673.7521583062
1569,138966.48057356512
1570,151678.40533981426
1571,114681.45901357857
1572,146154.28821610007
1573,230928.0250448908
1574,114208.56001516557
1575,228170.49003998243
1576,227992.03857620896
1577,188349.44086082358
1578,149384.7750092471
1579,138702.4589415755
1580,183376.70249989125
1581,146513.53075685244
1582,121585.28016287208
1583,302124.26189386874
1584,235841.84925149757
1585,144019.45327681742
1586,59102.99451180851
1587,105621.85460478975
1588,154222.06602173083
